id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
7,1kg PELEPAH LIDAH BUAYA JUMBO (CHINENSIS),15000,1,kg,alolo.id,https://shopee.co.id/MURAH!!!-1kg-PELEPAH-LIDAH-BUAYA-JUMBO-i.165312798.6145569251
7,PELEPAH LIDAH BUAYA JUMBO PONTIANAK CHINENSIS,12500,300,gram,yusronherbamart88,https://shopee.co.id/PELEPAH-LIDAH-BUAYA-JUMBO-PONTIANAK-CHINENSIS-i.44430386.9005096430
7,Pelepah lidah buaya 1000gr untuk makan Aloe Vera,23500,1000,gram,milagianti,https://shopee.co.id/Pelepah-lidah-buaya-1000gr-untuk-makan-Aloe-Vera-i.28930081.6926839931
7,Pelepah lidah buaya,2500,200,gram,j_coll01,https://shopee.co.id/Pelepah-lidah-buaya-i.65555773.11058879456
7,Pelepah lidah buaya (Aloe Vera),7000,300,gram,hasnayaaufa,https://shopee.co.id/Pelepah-lidah-buaya-(Aloe-Vera)-i.271142341.3238758448
13,Biang Temulawak Segar 1/2 kg,12500,2-Jan,kg,Jamu Mbakyu,https://www.tokopedia.com/jamumbakyu/biang-temulawak-segar-1-2-kg
13,Temulawak segar 1kg.,15000,1,kg,Ambar rempah,https://www.tokopedia.com/ambar-rempah/temulawak-segar-1kg
13,Temulawak Segar 1 Kg,15000,1000,gram,@RadenStore,https://www.tokopedia.com/radenstore-1/temulawak-segar-1-kg
13,Temulawak,20000,1,kg,Halefit Indonesia,https://www.tokopedia.com/halefitid/temulawak
13,TEMULAWAK 500GR,11000,500,gram,groceryku,https://www.tokopedia.com/groceryku/temulawak-500gr
13,temulawak segar,15000,1,kg,early's,https://www.tokopedia.com/earlys-1/temulawak-segar
13,Temulawak segar organik Temu lawak di ambil dari alam,10000,1000,gram,Uni-Store,https://www.tokopedia.com/uni-s-tore/temulawak-segar-organik-temu-lawak-di-ambil-dari-alam
13,Jual Temulawak Segar Murah 1 kg jabodetabek - 250g,5000,1,kg,healthy homes,https://www.tokopedia.com/healthyhomes/jual-temulawak-segar-murah-1-kg-jabodetabek-250g
13,Temulawak Jawa,14000,500,gram,GudangHerbal91,https://www.tokopedia.com/healthyhomes/jual-temulawak-segar-murah-1-kg-jabodetabek-250gg
13,temulawak jual per 1kg,21525,500,gram,Zeelena shop,https://www.tokopedia.com/zeelenashop/temulawak-jual-per-1kg
13,Temulawak,17000,100,gram,AsyfaAlykaColektion,https://www.tokopedia.com/asyfaalyka/temulawak
13,temulawak segar obat herbal 1kg,20000,1,kg,Kampung Herbal-2,https://www.tokopedia.com/kampungherbal-/temulawak-segar-obat-herbal-1kg
13,temulawak segar,11000,1100,gram,23group,https://www.tokopedia.com/group23/temulawak-segar
13,temulawak,20000,1,kg,jaya happy shop,https://www.tokopedia.com/adisanjaya/temulawak?whid=1660140
13,Temulawak Segar / 500 Gram,6750,500,gram,BAROKAH HERBAL GROUP,https://www.tokopedia.com/barokahherbalgroup/temulawak-segar-500-gram?whid=3896222
13,TERBARU TEMULAWAK/kg,9600,1000,gram,alyjudien01,https://shopee.co.id/TERBARU-TEMULAWAK-kg-i.216864384.6647993136
13,Temu Lawak 1 Kg Fresh Grade A Temulawak Sayur Ijo Segar Murah,18750,1,kg,ritago80,https://shopee.co.id/Temu-Lawak-1-Kg-Fresh-Grade-A-Temulawak-Sayur-Ijo-Segar-Murah-i.198504965.4276948907?gclid=CjwKCAjwsJ6TBhAIEiwAfl4TWGum4AvNbGHwXRZNGTm4gG-cWHstwg9ZnuZVHs6vqcKZNkVsjqwqHBoCLDEQAvD_BwE
